id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
37,-122.7,38.45,47.0,904.0,154.0,310.0,144.0,3.9766,<1H OCEAN,190600.0
38,-118.48,34.04,49.0,3780.0,741.0,1435.0,690.0,4.3158,<1H OCEAN,500001.0
39,-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,<1H OCEAN,337000.0
40,-121.32,38.62,29.0,2430.0,448.0,1087.0,394.0,3.0864,INLAND,177900.0
41,-117.81,33.63,17.0,4477.0,610.0,1798.0,612.0,8.1093,<1H OCEAN,410400.0
42,-120.83,35.36,28.0,4323.0,886.0,1650.0,705.0,2.7266,NEAR OCEAN,266800.0
43,-122.37,37.93,37.0,709.0,190.0,644.0,174.0,0.8641,NEAR BAY,84200.0
44,-121.53,38.5,17.0,3087.0,477.0,1365.0,495.0,6.4667,INLAND,216800.0
45,-121.98,36.96,20.0,3495.0,818.0,2186.0,772.0,3.1167,NEAR OCEAN,258300.0
46,-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,<1H OCEAN,147200.0
47,-122.05,37.35,34.0,2494.0,375.0,1399.0,382.0,7.3753,<1H OCEAN,388100.0
48,-117.09,32.73,28.0,3109.0,594.0,1559.0,589.0,3.5789,NEAR OCEAN,120300.0
49,-121.9,37.33,34.0,197.0,44.0,152.0,47.0,4.05,<1H OCEAN,200000.0
50,-118.52,34.22,21.0,4617.0,1101.0,2891.0,1031.0,3.2289,<1H OCEAN,318100.0
51,-118.1,33.81,36.0,856.0,146.0,451.0,164.0,5.1993,<1H OCEAN,246000.0
52,-118.44,34.29,32.0,1260.0,382.0,1434.0,342.0,2.0286,<1H OCEAN,122900.0
53,-118.1,33.91,40.0,513.0,100.0,399.0,99.0,4.875,<1H OCEAN,167600.0
54,-118.45,34.01,36.0,2424.0,418.0,1123.0,417.0,6.4755,<1H OCEAN,405800.0
55,-121.84,39.72,52.0,1457.0,389.0,802.0,342.0,0.9566,INLAND,69000.0
56,-118.25,34.09,43.0,1903.0,635.0,1919.0,613.0,2.6336,<1H OCEAN,174300.0
57,-119.71,34.43,18.0,1170.0,372.0,681.0,346.0,2.1974,<1H OCEAN,255000.0
58,-122.03,37.34,25.0,5404.0,906.0,2338.0,883.0,6.0577,<1H OCEAN,451800.0
59,-117.93,33.74,15.0,1206.0,282.0,677.0,270.0,3.9219,<1H OCEAN,142600.0
60,-120.43,34.87,26.0,1699.0,272.0,799.0,266.0,3.9871,<1H OCEAN,157700.0
61,-117.92,33.82,36.0,2360.0,405.0,1479.0,386.0,4.3583,<1H OCEAN,187200.0
62,-122.29,37.92,32.0,1736.0,234.0,602.0,231.0,6.516,NEAR BAY,401000.0
63,-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,INLAND,42600.0
64,-120.67,38.19,17.0,2967.0,611.0,1387.0,564.0,2.0417,INLAND,92600.0
65,-118.08,33.91,30.0,3259.0,942.0,2744.0,895.0,2.8608,<1H OCEAN,165600.0
66,-116.24,33.72,25.0,5236.0,1039.0,2725.0,935.0,3.775,INLAND,93400.0
67,-117.21,32.8,34.0,1398.0,222.0,532.0,244.0,3.7102,NEAR OCEAN,289600.0
68,-118.1,33.99,31.0,965.0,217.0,599.0,206.0,2.7202,<1H OCEAN,190300.0
69,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,NEAR BAY,127900.0
70,-122.42,37.75,52.0,1207.0,302.0,1008.0,269.0,3.3816,NEAR BAY,262500.0
71,-118.07,33.93,5.0,906.0,187.0,1453.0,158.0,4.125,<1H OCEAN,171900.0
72,-121.22,37.96,31.0,1484.0,314.0,1163.0,336.0,2.625,INLAND,72100.0
73,-122.12,37.65,26.0,162.0,27.0,86.0,25.0,2.375,NEAR BAY,137500.0
74,-118.29,33.97,48.0,3139.0,587.0,1319.0,506.0,3.5208,<1H OCEAN,134200.0
75,-122.04,37.3,25.0,3807.0,600.0,1678.0,600.0,6.6818,<1H OCEAN,411300.0
76,-117.06,32.77,34.0,1730.0,373.0,730.0,350.0,2.0284,NEAR OCEAN,161800.0
77,-118.42,34.02,34.0,2995.0,942.0,2626.0,947.0,2.2402,<1H OCEAN,450000.0
78,-122.33,37.56,50.0,1975.0,245.0,644.0,251.0,10.0743,NEAR OCEAN,500001.0
79,-118.14,34.15,17.0,1896.0,674.0,971.0,652.0,0.8438,<1H OCEAN,175000.0
80,-121.78,38.01,19.0,2688.0,469.0,1216.0,422.0,4.4491,INLAND,133900.0
81,-122.41,37.77,52.0,1963.0,565.0,1628.0,524.0,2.6083,NEAR BAY,193800.0
82,-122.38,39.68,21.0,1155.0,210.0,510.0,175.0,2.3851,INLAND,67500.0
83,-118.29,33.73,30.0,2835.0,711.0,1669.0,652.0,3.3616,NEAR OCEAN,268500.0
84,-116.94,33.73,17.0,5160.0,851.0,2344.0,781.0,3.7175,INLAND,120000.0
85,-122.58,38.43,10.0,3597.0,661.0,1132.0,639.0,3.9375,<1H OCEAN,269200.0
86,-118.31,34.09,37.0,773.0,,835.0,312.0,1.8576,<1H OCEAN,193800.0
87,-117.99,34.16,40.0,3838.0,696.0,1851.0,674.0,4.2407,INLAND,262000.0
88,-122.32,37.97,33.0,1595.0,292.0,991.0,300.0,4.6937,NEAR BAY,134100.0
89,-121.82,37.42,13.0,3752.0,572.0,1581.0,526.0,6.1091,<1H OCEAN,329400.0
90,-116.94,32.8,21.0,7906.0,2292.0,4868.0,2117.0,1.8937,<1H OCEAN,109800.0
91,-122.27,37.89,52.0,2640.0,366.0,973.0,355.0,7.266,NEAR BAY,371100.0
92,-118.23,34.15,26.0,1649.0,522.0,1332.0,483.0,3.1004,<1H OCEAN,257100.0
93,-116.97,33.78,24.0,2680.0,606.0,1728.0,527.0,2.535,INLAND,74800.0
94,-121.51,38.5,25.0,4719.0,745.0,1857.0,739.0,5.0371,INLAND,180200.0
95,-119.78,36.74,15.0,1461.0,415.0,924.0,356.0,2.5045,INLAND,90300.0
96,-117.88,33.96,16.0,19059.0,3079.0,10988.0,3061.0,5.5469,<1H OCEAN,265200.0
97,-122.14,37.47,36.0,2081.0,412.0,1931.0,373.0,3.7917,NEAR BAY,160600.0
98,-117.87,33.89,17.0,1441.0,530.0,769.0,456.0,2.425,<1H OCEAN,171700.0
99,-117.28,32.84,41.0,1420.0,338.0,640.0,314.0,2.9306,NEAR OCEAN,360300.0
100,-118.22,34.23,34.0,3296.0,483.0,1268.0,478.0,8.4802,<1H OCEAN,500001.0
101,-121.63,38.67,34.0,431.0,85.0,391.0,77.0,2.625,INLAND,225000.0
102,-121.98,38.39,3.0,9488.0,1417.0,4095.0,1335.0,5.1781,INLAND,191900.0
103,-118.45,34.17,21.0,2152.0,527.0,996.0,470.0,3.2386,<1H OCEAN,277300.0
104,-122.46,37.78,52.0,2165.0,580.0,1067.0,530.0,2.9293,NEAR BAY,350000.0
105,-118.35,33.89,30.0,1143.0,299.0,776.0,273.0,4.2829,<1H OCEAN,240000.0
106,-117.92,33.72,17.0,3318.0,502.0,1520.0,498.0,5.5501,<1H OCEAN,274200.0
107,-118.31,34.07,28.0,2362.0,949.0,2759.0,894.0,2.2364,<1H OCEAN,305600.0
108,-117.02,32.8,27.0,2369.0,370.0,927.0,374.0,4.1162,<1H OCEAN,177200.0
109,-119.01,35.34,44.0,1730.0,343.0,782.0,278.0,3.0208,INLAND,63700.0
110,-117.75,33.54,21.0,8711.0,1544.0,3173.0,1396.0,5.0907,<1H OCEAN,378200.0
111,-121.6,37.9,5.0,14684.0,2252.0,4276.0,1722.0,6.9051,INLAND,340900.0
112,-118.41,34.04,52.0,1907.0,261.0,681.0,249.0,10.9805,<1H OCEAN,500001.0
113,-121.42,38.64,42.0,1720.0,382.0,1069.0,362.0,1.8611,INLAND,60500.0
114,-118.45,34.19,11.0,2479.0,900.0,2466.0,855.0,2.2264,<1H OCEAN,181300.0
115,-122.26,37.55,17.0,1321.0,425.0,683.0,408.0,4.7045,NEAR BAY,500001.0
116,-118.61,34.17,31.0,1689.0,362.0,705.0,360.0,4.0,<1H OCEAN,278500.0
117,-121.79,37.67,26.0,2163.0,339.0,947.0,346.0,6.0797,INLAND,211000.0
118,-118.26,34.07,52.0,1802.0,613.0,2382.0,587.0,1.8438,<1H OCEAN,185900.0
119,-117.99,33.68,18.0,2024.0,462.0,1047.0,451.0,3.5848,<1H OCEAN,186900.0
120,-118.04,34.09,34.0,2597.0,461.0,1542.0,470.0,4.6211,INLAND,248900.0
121,-118.15,34.07,52.0,1983.0,344.0,887.0,331.0,3.2875,<1H OCEAN,234400.0
122,-118.44,34.01,43.0,1408.0,246.0,651.0,240.0,4.5795,<1H OCEAN,400000.0
123,-120.85,35.38,27.0,3493.0,909.0,1481.0,666.0,2.3075,NEAR OCEAN,184200.0
124,-118.29,34.09,35.0,2624.0,1116.0,3548.0,1008.0,2.0132,<1H OCEAN,198400.0
125,-121.95,37.94,21.0,3153.0,411.0,1318.0,431.0,6.8642,INLAND,285400.0
126,-118.41,34.19,45.0,1106.0,225.0,595.0,228.0,3.6625,<1H OCEAN,190700.0
127,-118.27,34.13,47.0,1375.0,359.0,1512.0,418.0,2.1071,<1H OCEAN,208900.0
128,-122.08,37.31,17.0,2560.0,396.0,959.0,400.0,7.8528,<1H OCEAN,368900.0
129,-118.31,34.08,27.0,1514.0,510.0,1603.0,518.0,2.8971,<1H OCEAN,251100.0
130,-119.57,36.72,11.0,2510.0,460.0,1248.0,445.0,3.6161,INLAND,99500.0
131,-122.02,37.95,22.0,3526.0,510.0,1660.0,508.0,5.6642,NEAR BAY,237000.0
132,-122.11,37.41,33.0,1641.0,284.0,659.0,282.0,6.0884,NEAR BAY,432900.0
133,-122.16,37.45,52.0,1135.0,219.0,441.0,200.0,7.5418,NEAR BAY,492000.0
134,-117.24,32.81,34.0,2420.0,391.0,917.0,392.0,6.5881,NEAR OCEAN,394400.0
135,-121.89,37.25,21.0,2080.0,352.0,1040.0,325.0,5.2887,<1H OCEAN,264500.0
136,-119.28,36.32,16.0,2812.0,514.0,1620.0,523.0,3.7404,INLAND,89200.0
137,-118.92,34.4,23.0,1290.0,283.0,1060.0,279.0,3.3152,<1H OCEAN,198000.0
138,-118.29,33.96,32.0,3508.0,917.0,2794.0,839.0,1.554,<1H OCEAN,100000.0
139,-121.71,38.56,20.0,8627.0,1516.0,4071.0,1466.0,4.2198,INLAND,164100.0
140,-122.12,37.37,18.0,1617.0,231.0,555.0,222.0,8.9021,NEAR BAY,500001.0
141,-118.4,34.02,40.0,593.0,137.0,371.0,132.0,4.6932,<1H OCEAN,332800.0
142,-117.18,32.77,16.0,2374.0,780.0,913.0,705.0,2.7386,NEAR OCEAN,87500.0
143,-118.13,34.18,52.0,1464.0,211.0,603.0,226.0,5.8309,INLAND,309100.0
144,-117.84,33.77,14.0,4412.0,952.0,1656.0,874.0,4.3292,<1H OCEAN,206500.0
145,-119.21,34.26,26.0,2406.0,411.0,1313.0,391.0,4.9079,NEAR OCEAN,234100.0
146,-117.08,32.62,16.0,5192.0,1381.0,3261.0,1321.0,2.2685,NEAR OCEAN,151900.0
147,-117.91,33.84,29.0,1570.0,482.0,1849.0,430.0,2.6563,<1H OCEAN,162500.0
148,-117.03,32.69,10.0,901.0,163.0,698.0,167.0,4.6648,NEAR OCEAN,156100.0
149,-117.98,33.86,26.0,1240.0,285.0,781.0,315.0,4.1287,<1H OCEAN,205800.0
150,-118.02,33.83,16.0,1139.0,328.0,665.0,290.0,3.2933,<1H OCEAN,260000.0
151,-117.15,32.74,43.0,2383.0,607.0,962.0,587.0,2.2578,NEAR OCEAN,263600.0
152,-120.49,35.35,17.0,3043.0,608.0,1457.0,545.0,3.1641,<1H OCEAN,158600.0
153,-121.46,38.58,40.0,1394.0,397.0,689.0,353.0,1.7765,INLAND,109800.0
154,-117.82,33.67,17.0,2895.0,439.0,1588.0,450.0,6.276,<1H OCEAN,290700.0
155,-116.96,32.81,8.0,2378.0,638.0,1410.0,623.0,2.9097,<1H OCEAN,152500.0
156,-118.17,33.96,29.0,2913.0,787.0,3803.0,740.0,2.5556,<1H OCEAN,146500.0
157,-118.9,35.41,6.0,4656.0,971.0,2320.0,935.0,3.0938,INLAND,100800.0
158,-117.5,33.98,21.0,2394.0,416.0,1291.0,381.0,4.2099,INLAND,138700.0
159,-117.12,32.58,26.0,1360.0,309.0,869.0,328.0,3.0217,NEAR OCEAN,131600.0
160,-117.31,33.25,13.0,3075.0,630.0,1843.0,674.0,2.8558,<1H OCEAN,97100.0
161,-122.33,38.0,35.0,3779.0,711.0,2493.0,679.0,2.9781,NEAR BAY,109000.0
162,-118.08,34.07,32.0,4089.0,975.0,3775.0,955.0,3.29,<1H OCEAN,205500.0
163,-118.44,34.07,21.0,730.0,263.0,965.0,224.0,2.0511,<1H OCEAN,350000.0
164,-122.45,37.71,41.0,1578.0,351.0,1159.0,299.0,3.9167,NEAR OCEAN,243600.0
165,-121.48,38.58,52.0,576.0,146.0,273.0,127.0,2.01,INLAND,94300.0
166,-117.24,33.77,9.0,6907.0,1379.0,3665.0,1290.0,2.8401,INLAND,104200.0
167,-118.32,34.2,36.0,1978.0,337.0,834.0,311.0,3.9866,<1H OCEAN,294400.0
168,-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,<1H OCEAN,230800.0
169,-122.02,37.35,18.0,1221.0,255.0,507.0,271.0,5.3679,<1H OCEAN,228400.0
170,-119.77,35.65,21.0,2403.0,483.0,1647.0,415.0,2.6066,INLAND,80000.0
171,-121.93,37.27,35.0,1855.0,345.0,985.0,329.0,6.0196,<1H OCEAN,255100.0
172,-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,INLAND,84800.0
173,-120.99,37.69,25.0,2773.0,384.0,1060.0,381.0,6.4788,INLAND,199400.0
174,-117.85,33.84,26.0,2095.0,280.0,793.0,261.0,6.6719,<1H OCEAN,271700.0
175,-122.46,37.73,52.0,2401.0,346.0,812.0,328.0,6.8322,NEAR BAY,394100.0
176,-122.16,37.76,46.0,1827.0,307.0,881.0,302.0,4.6696,NEAR BAY,164300.0
177,-122.53,38.01,27.0,3121.0,531.0,1318.0,489.0,5.4781,NEAR BAY,310900.0
178,-117.07,33.0,4.0,6242.0,1258.0,2211.0,1116.0,4.25,<1H OCEAN,281600.0
179,-116.98,32.75,18.0,1519.0,369.0,802.0,347.0,2.9886,<1H OCEAN,170800.0
180,-117.66,34.04,16.0,2081.0,348.0,1332.0,356.0,4.7872,INLAND,147600.0
181,-117.04,33.15,15.0,13814.0,2888.0,6583.0,2789.0,2.8247,<1H OCEAN,150000.0
182,-118.27,33.94,30.0,1041.0,275.0,877.0,270.0,1.5268,<1H OCEAN,91600.0
183,-120.99,39.2,15.0,2993.0,562.0,1296.0,518.0,3.3009,INLAND,156800.0
184,-117.92,33.98,10.0,16414.0,2919.0,8907.0,2714.0,6.1552,<1H OCEAN,362500.0
185,-117.68,33.54,5.0,2840.0,403.0,1363.0,403.0,7.618,<1H OCEAN,341400.0
186,-118.01,34.15,52.0,2234.0,472.0,986.0,439.0,3.9125,INLAND,265500.0
187,-117.97,33.66,22.0,3914.0,600.0,1871.0,607.0,5.8541,<1H OCEAN,281500.0
188,-121.78,37.33,10.0,2829.0,394.0,1510.0,386.0,6.68,<1H OCEAN,359500.0
189,-123.01,38.48,37.0,1179.0,282.0,354.0,176.0,1.3712,NEAR OCEAN,118300.0
190,-119.82,36.83,16.0,2868.0,376.0,1016.0,379.0,6.1175,INLAND,144700.0
191,-117.17,34.12,3.0,15695.0,2248.0,6080.0,1920.0,6.2178,INLAND,173900.0
192,-117.89,33.75,34.0,2753.0,654.0,3117.0,631.0,3.1713,<1H OCEAN,170100.0
193,-122.24,37.46,36.0,4686.0,781.0,2254.0,845.0,6.1043,NEAR OCEAN,343500.0
194,-118.13,33.89,33.0,3668.0,867.0,2368.0,845.0,2.8906,<1H OCEAN,204900.0
195,-122.1,37.68,31.0,1892.0,428.0,1162.0,389.0,3.125,NEAR BAY,167100.0
196,-122.23,38.15,33.0,1253.0,238.0,753.0,236.0,1.756,NEAR BAY,86400.0
197,-122.41,37.74,43.0,1663.0,330.0,935.0,335.0,4.1552,NEAR BAY,240900.0
198,-118.28,33.75,41.0,1305.0,381.0,1384.0,369.0,2.45,NEAR OCEAN,186800.0
199,-118.44,34.18,35.0,972.0,270.0,550.0,256.0,2.2461,<1H OCEAN,215000.0
200,-119.73,34.43,35.0,2703.0,654.0,1383.0,631.0,4.5278,NEAR OCEAN,340400.0
201,-120.46,34.65,14.0,885.0,223.0,533.0,224.0,2.5966,NEAR OCEAN,109300.0
202,-119.28,34.42,23.0,4763.0,828.0,2198.0,771.0,4.8105,NEAR OCEAN,313000.0
203,-122.18,37.7,36.0,2639.0,533.0,1209.0,519.0,4.0268,NEAR BAY,205500.0
204,-117.75,34.05,37.0,378.0,92.0,503.0,103.0,2.1908,INLAND,94600.0
205,-118.04,33.97,34.0,1759.0,431.0,1282.0,391.0,3.0491,<1H OCEAN,158200.0
206,-121.02,37.7,16.0,3476.0,650.0,2126.0,665.0,3.3438,INLAND,125400.0
207,-117.87,33.64,26.0,3521.0,455.0,1336.0,451.0,10.2849,<1H OCEAN,500001.0
208,-117.8,34.05,5.0,4536.0,1178.0,2485.0,909.0,4.1118,<1H OCEAN,125900.0
209,-121.64,36.66,24.0,3174.0,506.0,1466.0,535.0,5.2285,<1H OCEAN,248100.0
210,-118.19,33.99,42.0,1429.0,436.0,1537.0,389.0,3.0114,<1H OCEAN,157500.0
211,-118.17,33.79,32.0,2171.0,672.0,3002.0,648.0,2.375,NEAR OCEAN,139700.0
212,-116.22,34.21,23.0,1175.0,468.0,355.0,151.0,2.2083,INLAND,42500.0
213,-117.83,34.11,29.0,2671.0,437.0,1484.0,445.0,4.9844,INLAND,203000.0
214,-121.89,38.01,28.0,3639.0,751.0,2362.0,641.0,3.0042,INLAND,103900.0
215,-117.96,34.08,28.0,2831.0,552.0,2330.0,557.0,3.9741,<1H OCEAN,173100.0
216,-117.72,33.62,19.0,1144.0,268.0,365.0,279.0,2.8583,<1H OCEAN,105800.0
217,-122.24,38.13,37.0,3223.0,564.0,1325.0,539.0,4.0938,NEAR BAY,126900.0
218,-118.44,34.05,32.0,1880.0,435.0,798.0,417.0,4.7109,<1H OCEAN,500000.0
219,-122.3,37.87,10.0,503.0,118.0,228.0,100.0,2.1705,NEAR BAY,150000.0
220,-117.32,33.15,15.0,13245.0,2212.0,5495.0,2060.0,5.4904,NEAR OCEAN,262100.0
221,-118.29,34.09,29.0,2240.0,792.0,2254.0,739.0,2.3317,<1H OCEAN,172500.0
222,-121.94,38.89,15.0,1462.0,314.0,774.0,271.0,2.5478,INLAND,91700.0
223,-122.05,37.11,39.0,1065.0,248.0,497.0,208.0,4.5972,NEAR OCEAN,146300.0
224,-117.2,33.14,19.0,2025.0,414.0,1663.0,403.0,3.8147,<1H OCEAN,139200.0
225,-122.61,41.74,15.0,4206.0,922.0,1863.0,869.0,2.0591,INLAND,55700.0
226,-123.79,39.44,49.0,2290.0,482.0,1201.0,479.0,3.5,<1H OCEAN,113300.0
227,-121.36,38.66,22.0,2878.0,599.0,1362.0,541.0,2.7955,INLAND,96500.0
228,-117.87,33.74,52.0,2411.0,526.0,2165.0,521.0,3.415,<1H OCEAN,172500.0
229,-117.98,33.83,17.0,3506.0,992.0,2104.0,893.0,3.3006,<1H OCEAN,185800.0
230,-121.87,37.99,15.0,2203.0,312.0,1051.0,311.0,4.9783,INLAND,163900.0
231,-117.05,34.03,28.0,3009.0,698.0,1200.0,626.0,1.3993,INLAND,104600.0
232,-118.14,33.87,21.0,6618.0,1773.0,4396.0,1649.0,3.0989,<1H OCEAN,171400.0
233,-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,<1H OCEAN,225600.0
234,-122.07,37.67,27.0,3239.0,671.0,1469.0,616.0,3.2465,NEAR BAY,230600.0
235,-118.26,33.99,36.0,2016.0,505.0,1807.0,464.0,1.6901,<1H OCEAN,103500.0
236,-121.92,37.27,29.0,5536.0,862.0,2651.0,881.0,5.6358,<1H OCEAN,282100.0
237,-118.43,34.05,52.0,1693.0,290.0,727.0,305.0,6.7115,<1H OCEAN,500001.0
238,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,NEAR BAY,97500.0
239,-122.65,41.72,15.0,3643.0,801.0,1784.0,743.0,1.8533,INLAND,57500.0
240,-118.22,34.19,31.0,4704.0,920.0,1895.0,886.0,4.9297,<1H OCEAN,400000.0
241,-115.53,32.73,14.0,1527.0,325.0,1453.0,332.0,1.735,INLAND,61200.0
242,-118.29,33.84,11.0,2274.0,617.0,1897.0,622.0,3.5094,<1H OCEAN,162900.0
243,-122.04,37.39,5.0,8745.0,2211.0,3959.0,2019.0,4.7685,<1H OCEAN,280100.0
244,-118.35,34.52,14.0,3490.0,592.0,1710.0,580.0,5.9171,INLAND,333300.0
245,-120.84,38.63,12.0,1313.0,231.0,731.0,232.0,5.7373,INLAND,208300.0
246,-120.44,37.31,16.0,3369.0,532.0,1770.0,574.0,5.2662,INLAND,126200.0
247,-118.15,33.9,20.0,2850.0,737.0,1855.0,662.0,2.809,<1H OCEAN,144600.0
248,-117.28,34.41,14.0,2105.0,396.0,960.0,396.0,2.9934,INLAND,118200.0
249,-122.79,38.54,5.0,3986.0,737.0,1887.0,687.0,3.7768,<1H OCEAN,213800.0
250,-122.22,38.1,44.0,3013.0,563.0,1353.0,512.0,3.4559,NEAR BAY,111900.0
251,-118.39,33.89,30.0,2532.0,464.0,1056.0,419.0,6.3434,<1H OCEAN,460400.0
252,-122.23,39.95,21.0,2087.0,382.0,888.0,361.0,2.207,INLAND,86400.0
253,-121.46,38.65,8.0,3746.0,767.0,2161.0,744.0,3.2039,INLAND,103400.0
254,-117.75,34.12,25.0,5411.0,998.0,2243.0,1019.0,4.3148,INLAND,240700.0
255,-118.35,33.94,36.0,2225.0,601.0,2755.0,610.0,2.5547,<1H OCEAN,150400.0
256,-118.38,33.86,29.0,2787.0,475.0,1182.0,444.0,6.7613,<1H OCEAN,352700.0
257,-117.32,34.09,38.0,1585.0,345.0,1347.0,368.0,2.375,INLAND,75300.0
258,-121.9,37.29,26.0,1797.0,244.0,626.0,244.0,7.8575,<1H OCEAN,424600.0
259,-120.23,37.96,52.0,1230.0,262.0,609.0,243.0,2.0057,INLAND,68200.0
260,-119.73,36.59,31.0,1551.0,296.0,1058.0,287.0,3.3438,INLAND,92600.0
261,-122.25,38.1,52.0,248.0,86.0,173.0,69.0,2.3,NEAR BAY,109400.0
262,-119.72,34.43,30.0,2491.0,656.0,1091.0,576.0,2.5139,<1H OCEAN,279500.0
263,-121.66,37.11,19.0,3785.0,611.0,2198.0,610.0,5.1514,<1H OCEAN,436700.0
264,-118.37,34.17,6.0,854.0,350.0,542.0,321.0,0.8198,<1H OCEAN,325000.0
265,-122.07,37.88,11.0,1077.0,318.0,590.0,264.0,3.5536,NEAR BAY,387200.0
266,-118.22,33.83,44.0,1792.0,404.0,1115.0,358.0,3.9091,<1H OCEAN,174400.0
267,-118.26,33.95,44.0,1771.0,378.0,1296.0,399.0,1.6389,<1H OCEAN,96700.0
268,-120.43,34.7,26.0,2353.0,389.0,1420.0,389.0,3.87,NEAR OCEAN,125800.0
269,-118.14,33.86,44.0,1436.0,257.0,745.0,233.0,4.625,<1H OCEAN,213400.0
270,-117.32,34.41,13.0,2032.0,348.0,1038.0,344.0,4.2891,INLAND,120100.0
271,-121.82,37.38,32.0,3747.0,665.0,1687.0,649.0,5.4949,<1H OCEAN,330800.0
272,-118.92,35.26,20.0,3815.0,924.0,3450.0,920.0,2.0174,INLAND,63700.0
273,-118.15,33.85,36.0,1491.0,259.0,699.0,266.0,4.0781,<1H OCEAN,217300.0
